TransactionID,CustomerID,Products,Timestamp
37,C153,"Milk, Dish Sponge, Strawberry, Ice Cream, Chickpeas, Shampoo, Soda, Cola, Cheese, Egg",2025-01-20
38,C94,"Pizza, Water, Yogurt, Potato, Cracker, Rice",2025-04-15
39,C715,"Chicken, Dumpling, Tomato, Lentil, Cucumber, Cereal, Cookie, Orange",2025-01-30
40,C365,"Potato, Cookie, Orange, Egg, Beans, Ice Cream",2025-04-21
41,C959,"Beans, Cereal, Butter, Honey",2025-02-24
42,C477,"Dumpling, Chocolate, Onion, Soap",2025-03-21
43,C996,"Sausage, Beans, Ice Cream, Chocolate, Shampoo, Juice, Dish Sponge",2025-04-21
44,C892,"Cookie, Sausage, Shampoo, Egg, Rice, Water, Dumpling, Onion",2025-03-11
45,C285,"Yogurt, Cereal, Sausage, Cheese, Bread, Juice, Flatbread with Meat, Strawberry, Ice Cream",2025-02-19
46,C562,"Chickpeas, Juice, Orange",2025-02-01
47,C377,"Cracker, Tomato, Beans, Orange, Ice Cream, Lentil",2025-02-02
48,C106,"Chips, Potato, Honey, Chocolate",2025-02-04
49,C291,"Banana, Lentil, Apple, Cola, Pizza, Shampoo, Juice, Dish Sponge, Sausage",2025-02-24
50,C309,"Dumpling, Onion, Cereal, Butter, Detergent, Banana, Water, Chocolate, Cucumber, Milk",2025-03-01
51,C64,"Egg, Strawberry, Cracker, Dish Sponge, Potato",2025-03-08
52,C956,"Sausage, Strawberry, Yogurt, Chicken",2025-02-12
53,C65,"Ice Cream, Tomato, Rice",2025-03-18
54,C891,"Bread, Onion, Minced Meat",2025-01-06
55,C618,"Bread, Chocolate, Sausage, Fish, Cookie, Dumpling",2025-01-05
56,C713,"Cheese, Chicken, Dumpling, Flatbread with Meat, Cereal, Milk, Minced Meat, Tomato",2025-01-10
57,C337,"Flatbread with Meat, Minced Meat, Yogurt, Apple, Orange, Chicken, Egg",2025-03-02
58,C402,"Potato, Cucumber, Soda, Juice, Beans, Cereal, Cheese, Bread, Lentil, Chicken",2025-04-03
59,C165,"Honey, Potato, Pizza, Beans, Cola, Fish, Lentil",2025-03-19
60,C496,"Banana, Dumpling, Cheese, Milk, Apple, Beans, Cereal",2025-02-10
61,C369,"Detergent, Chips, Strawberry, Chickpeas, Bread, Rice, Milk, Onion, Yogurt, Cola",2025-02-12
62,C545,"Strawberry, Cola, Cereal, Cracker, Rice, Lentil, Beans, Ice Cream, Dumpling, Yogurt",2025-02-06
63,C83,"Soda, Strawberry, Minced Meat",2025-03-07
64,C281,"Cookie, Potato, Cheese, Beans, Chocolate, Shampoo, Egg",2025-01-04
65,C142,"Potato, Butter, Ice Cream",2025-03-24
66,C887,"Detergent, Apple, Tomato, Water, Strawberry, Rice",2025-02-21
67,C887,"Water, Soap, Dumpling, Chickpeas, Chocolate, Cucumber, Minced Meat, Beans, Strawberry, Pizza",2025-01-19
68,C381,"Bread, Dumpling, Strawberry",2025-04-29
69,C521,"Tomato, Orange, Chips, Water, Beans, Dumpling, Cookie, Chocolate",2025-01-12
70,C22,"Minced Meat, Lentil, Cracker, Butter, Rice, Sausage, Yogurt, Cookie, Tomato",2025-04-30
71,C453,"Cola, Banana, Chicken, Cereal, Soda, Beans, Onion",2025-03-20
72,C464,"Chips, Soda, Chickpeas, Soap, Honey, Chocolate",2025-01-18
73,C329,"Pizza, Yogurt, Egg, Dish Sponge, Chickpeas, Orange, Water, Cracker, Cola",2025-01-09
74,C445,"Bread, Soda, Honey, Chocolate, Egg, Apple, Lentil, Pizza, Orange, Rice",2025-03-30
75,C747,"Dish Sponge, Lentil, Apple, Cheese",2025-04-12
76,C455,"Minced Meat, Cereal, Tomato, Chocolate, Egg, Banana, Onion, Flatbread with Meat, Juice, Soap",2025-03-06
77,C96,"Strawberry, Onion, Soda, Chicken, Yogurt",2025-01-10
78,C688,"Fish, Honey, Egg",2025-04-27
79,C887,"Water, Butter, Honey, Cucumber, Egg, Soda, Milk, Apple, Strawberry, Cookie, Cereal",2025-02-22
80,C402,"Ice Cream, Sausage, Cucumber, Milk, Soap, Apple, Strawberry, Orange, Water",2025-01-15
81,C413,"Pizza, Water, Chocolate, Detergent, Soap",2025-03-15
82,C283,"Pizza, Bread, Rice, Ice Cream, Dumpling, Sausage",2025-02-04
83,C485,"Apple, Strawberry, Yogurt, Cucumber, Rice",2025-03-04
84,C276,"Cereal, Rice, Yogurt",2025-04-06
85,C571,"Ice Cream, Egg, Chips, Juice, Strawberry, Onion, Chickpeas, Apple",2025-02-06
86,C174,"Cucumber, Ice Cream, Sausage",2025-03-01
87,C250,"Cereal, Ice Cream, Shampoo, Flatbread with Meat, Butter, Banana, Strawberry, Egg",2025-04-12
88,C162,"Fish, Soap, Detergent, Lentil, Yogurt, Sausage, Tomato, Cookie, Cracker, Apple",2025-03-31
89,C370,"Cheese, Ice Cream, Bread, Apple, Orange, Shampoo, Lentil, Honey",2025-01-25
90,C134,"Yogurt, Pizza, Cheese, Cola, Dumpling, Minced Meat, Chips",2025-03-14
91,C147,"Dumpling, Cracker, Cookie, Strawberry, Rice",2025-01-22
92,C779,"Orange, Minced Meat, Rice, Potato",2025-04-04
93,C387,"Soap, Chips, Juice, Rice, Cola, Ice Cream, Chocolate, Minced Meat, Orange, Cucumber",2025-04-06
94,C989,"Lentil, Butter, Potato, Soda, Chicken",2025-04-09
95,C410,"Cracker, Chickpeas, Onion, Milk, Shampoo, Egg",2025-04-20
96,C358,"Bread, Milk, Dish Sponge, Dumpling, Cola, Soda, Cookie, Cereal",2025-04-07
97,C157,"Cookie, Cheese, Apple, Detergent, Strawberry, Soda, Banana, Tomato, Chickpeas, Potato",2025-02-03
98,C999,"Honey, Apple, Potato, Cola, Soda, Dumpling, Ice Cream, Chips, Dish Sponge, Flatbread with Meat",2025-03-31
99,C302,"Chocolate, Sausage, Pizza, Shampoo, Dumpling",2025-04-06
100,C769,"Fish, Detergent, Honey, Water, Flatbread with Meat, Cucumber",2025-03-01
101,C93,"Orange, Chips, Cheese, Cracker",2025-02-04
102,C373,"Potato, Tomato, Flatbread with Meat, Dumpling, Honey, Soap, Detergent, Dish Sponge",2025-01-02
103,C680,"Chips, Shampoo, Soda",2025-02-18
104,C853,"Cracker, Banana, Soap, Cereal, Onion, Milk, Detergent, Beans",2025-01-09
105,C892,"Cheese, Soap, Milk",2025-02-01
106,C258,"Cereal, Yogurt, Beans, Fish, Banana, Cola, Minced Meat, Strawberry, Sausage, Egg",2025-03-25
107,C525,"Apple, Soda, Minced Meat, Dish Sponge, Rice, Sausage",2025-01-26
108,C897,"Chips, Orange, Yogurt, Rice, Shampoo, Soap",2025-01-20
109,C677,"Cracker, Soda, Flatbread with Meat, Onion, Tomato, Minced Meat, Bread, Apple, Cheese, Yogurt",2025-02-27
110,C573,"Strawberry, Juice, Cheese, Chips, Fish, Cookie",2025-04-23
111,C750,"Cheese, Minced Meat, Water, Dish Sponge, Dumpling, Soda, Yogurt, Honey, Fish",2025-02-03
112,C319,"Cola, Fish, Bread, Chocolate, Juice, Soap",2025-03-22
113,C45,"Tomato, Apple, Chickpeas",2025-02-04
114,C766,"Cracker, Dumpling, Soda, Milk, Egg, Chocolate, Lentil",2025-01-05
115,C377,"Apple, Honey, Chickpeas, Soap",2025-03-06
116,C762,"Orange, Yogurt, Soda, Cracker, Honey, Chips, Soap, Egg",2025-02-05
117,C954,"Butter, Lentil, Tomato, Ice Cream, Onion, Pizza, Sausage, Cracker, Cola",2025-01-07
118,C418,"Pizza, Butter, Cereal, Soda, Lentil",2025-01-06
119,C962,"Potato, Flatbread with Meat, Dumpling, Chickpeas, Strawberry, Onion, Pizza, Fish",2025-04-09
120,C167,"Milk, Ice Cream, Yogurt, Juice, Apple, Cola, Cereal",2025-03-13
121,C656,"Sausage, Cookie, Cereal",2025-03-18
122,C310,"Orange, Rice, Egg, Onion, Soda",2025-04-26
123,C760,"Pizza, Dumpling, Detergent",2025-03-26
124,C776,"Potato, Dumpling, Yogurt, Sausage, Banana, Chocolate",2025-03-11
125,C120,"Water, Juice, Cucumber, Tomato, Chicken, Onion, Pizza, Rice, Detergent, Butter",2025-02-18
126,C654,"Yogurt, Onion, Chickpeas, Chips, Strawberry, Juice, Detergent, Butter, Dumpling, Cola",2025-03-18
127,C244,"Water, Apple, Butter, Chickpeas, Tomato, Detergent, Pizza",2025-04-12
128,C230,"Milk, Shampoo, Minced Meat, Beans, Pizza, Chicken, Tomato, Apple, Dish Sponge",2025-03-14
129,C575,"Sausage, Banana, Soap, Cola",2025-01-24
130,C658,"Sausage, Strawberry, Chocolate, Dumpling, Chicken, Chickpeas, Tomato, Juice",2025-04-08
131,C18,"Chocolate, Milk, Juice",2025-04-28
132,C425,"Milk, Potato, Chips, Dumpling",2025-02-02
133,C759,"Cheese, Honey, Potato, Sausage",2025-03-03
134,C432,"Yogurt, Strawberry, Pizza, Rice, Egg, Juice, Lentil, Onion, Potato",2025-01-20
135,C79,"Butter, Banana, Shampoo, Chips, Cucumber",2025-02-15
136,C340,"Tomato, Ice Cream, Cereal, Chips, Chicken, Beans",2025-03-31
137,C125,"Cereal, Chickpeas, Soap, Pizza, Chicken, Water, Egg, Honey",2025-04-24
138,C488,"Tomato, Cola, Beans, Fish, Minced Meat",2025-04-11
139,C462,"Orange, Cucumber, Honey",2025-04-25
140,C812,"Apple, Cheese, Milk, Cookie, Lentil, Cracker, Detergent, Orange, Minced Meat, Cereal",2025-04-08
141,C25,"Bread, Rice, Water, Chickpeas, Flatbread with Meat, Soap, Pizza, Potato, Detergent, Dumpling",2025-04-05
142,C363,"Chips, Soda, Rice, Dish Sponge, Bread, Shampoo, Potato, Chocolate",2025-02-05
143,C633,"Honey, Onion, Potato, Soda, Cucumber, Tomato, Chips, Cola",2025-02-27
144,C770,"Fish, Juice, Lentil",2025-03-28
145,C584,"Apple, Sausage, Pizza, Chips, Cookie, Bread, Juice",2025-02-08
146,C955,"Chips, Apple, Potato, Yogurt, Minced Meat, Honey",2025-01-10
147,C948,"Flatbread with Meat, Honey, Chickpeas, Yogurt, Dumpling, Cheese, Cracker, Detergent, Ice Cream, Potato",2025-02-06
148,C569,"Chickpeas, Chocolate, Egg",2025-03-06
149,C366,"Chocolate, Butter, Cheese, Lentil, Honey, Rice, Bread",2025-02-16
150,C812,"Dish Sponge, Milk, Onion, Minced Meat, Beans, Sausage, Soda, Honey, Cereal",2025-03-23
151,C225,"Shampoo, Beans, Strawberry, Chicken, Orange, Dumpling, Pizza, Detergent, Minced Meat, Chips",2025-02-13
152,C118,"Dumpling, Rice, Strawberry, Banana, Detergent, Minced Meat",2025-03-02
153,C669,"Yogurt, Honey, Beans, Chocolate, Detergent, Fish, Cola, Dumpling",2025-03-12
154,C630,"Strawberry, Detergent, Chicken, Egg",2025-03-15
155,C238,"Beans, Bread, Chocolate, Orange, Soda, Egg, Honey, Flatbread with Meat, Cereal",2025-04-21
156,C726,"Dish Sponge, Dumpling, Cracker, Cheese",2025-02-04
157,C847,"Soda, Beans, Strawberry, Cracker, Cucumber, Milk, Cereal, Chips",2025-04-05
158,C452,"Yogurt, Lentil, Flatbread with Meat",2025-01-26
159,C530,"Milk, Chocolate, Cola, Sausage, Shampoo",2025-03-04
160,C457,"Tomato, Rice, Banana, Water, Soda, Cookie, Chips, Cola, Chicken",2025-02-26
161,C994,"Chicken, Cola, Cucumber, Chocolate, Lentil",2025-01-12
162,C297,"Honey, Cereal, Yogurt, Dish Sponge, Rice",2025-01-22
163,C629,"Onion, Chickpeas, Bread, Egg, Cucumber, Minced Meat, Potato",2025-03-19
164,C336,"Bread, Chocolate, Fish, Cracker, Cookie",2025-02-27
165,C115,"Cucumber, Orange, Apple, Minced Meat, Lentil, Soda, Chips",2025-03-06
166,C608,"Bread, Cracker, Minced Meat, Apple",2025-04-07
167,C830,"Butter, Water, Egg, Detergent, Banana, Strawberry, Soap, Rice",2025-02-05
168,C968,"Strawberry, Bread, Shampoo, Soap, Beans, Sausage, Lentil, Soda, Fish, Chocolate",2025-03-24
169,C589,"Shampoo, Lentil, Soap, Cookie, Banana",2025-04-26
170,C842,"Lentil, Tomato, Cereal, Detergent, Strawberry, Cucumber",2025-03-08
171,C315,"Shampoo, Detergent, Cereal, Beans, Chickpeas",2025-03-27
172,C927,"Butter, Chips, Flatbread with Meat, Ice Cream, Fish, Onion, Pizza, Milk",2025-04-27
173,C804,"Butter, Detergent, Bread, Dish Sponge, Chickpeas, Banana, Juice, Cheese, Shampoo, Tomato",2025-01-01
174,C834,"Cola, Juice, Fish, Cheese, Cookie, Flatbread with Meat, Soda",2025-04-17
175,C746,"Lentil, Chips, Butter, Ice Cream, Cheese, Cucumber, Cola, Dumpling",2025-01-03
176,C332,"Orange, Juice, Soda, Water, Apple",2025-03-20
177,C808,"Ice Cream, Honey, Rice, Chicken, Chocolate, Strawberry, Shampoo, Detergent, Minced Meat",2025-02-02
178,C780,"Tomato, Cheese, Cucumber",2025-03-27
179,C19,"Chickpeas, Tomato, Honey, Chocolate, Yogurt, Chips, Beans",2025-03-01
180,C799,"Lentil, Chickpeas, Cracker, Soap, Juice, Chocolate, Tomato, Pizza, Cola, Onion",2025-04-13
181,C311,"Honey, Strawberry, Yogurt",2025-03-29
182,C624,"Bread, Ice Cream, Apple, Dumpling, Milk, Dish Sponge, Shampoo, Cucumber, Honey, Beans",2025-03-31
183,C483,"Detergent, Rice, Minced Meat",2025-04-29
184,C597,"Yogurt, Bread, Tomato, Cracker, Pizza, Cucumber, Soda",2025-01-07
185,C776,"Dish Sponge, Water, Ice Cream, Orange, Honey, Yogurt, Minced Meat",2025-01-13
186,C131,"Minced Meat, Fish, Water, Onion, Yogurt, Apple",2025-03-27
187,C17,"Cola, Dish Sponge, Pizza, Potato, Cucumber, Beans, Bread, Lentil",2025-04-27
188,C571,"Cucumber, Milk, Dish Sponge, Cola, Beans, Cereal",2025-04-28
189,C575,"Orange, Yogurt, Shampoo, Lentil, Bread, Cracker, Cheese, Chickpeas, Juice, Chocolate",2025-01-23
190,C868,"Cereal, Milk, Pizza, Rice, Soap, Banana, Potato, Cucumber, Beans",2025-03-07
191,C33,"Sausage, Fish, Lentil",2025-03-25
192,C289,"Water, Tomato, Cookie, Cola, Chickpeas",2025-02-28
193,C10,"Water, Banana, Soap, Flatbread with Meat, Fish, Lentil, Tomato, Egg",2025-02-09
194,C601,"Dish Sponge, Shampoo, Cookie, Honey, Chips, Cola",2025-01-01
195,C179,"Bread, Water, Beans, Dumpling",2025-03-16
196,C492,"Rice, Cheese, Water, Yogurt, Fish, Minced Meat, Strawberry, Onion",2025-01-14
197,C746,"Potato, Cola, Yogurt, Detergent, Rice, Cheese, Shampoo, Strawberry, Milk, Dish Sponge",2025-02-08
198,C450,"Soap, Juice, Flatbread with Meat, Chips",2025-01-17
199,C770,"Strawberry, Apple, Chickpeas, Soap, Flatbread with Meat, Potato, Butter, Chicken, Juice, Sausage",2025-02-19
200,C293,"Chickpeas, Cookie, Potato, Fish, Sausage, Lentil, Minced Meat, Cheese",2025-02-02
201,C305,"Cola, Shampoo, Banana",2025-04-09
202,C556,"Bread, Soda, Cucumber, Cola, Honey, Sausage, Potato",2025-01-24
203,C250,"Tomato, Ice Cream, Apple",2025-01-18
204,C372,"Water, Potato, Chickpeas",2025-01-04
205,C710,"Banana, Chips, Dumpling, Beans, Cookie, Egg, Detergent, Strawberry, Honey, Cola",2025-02-10
206,C465,"Cookie, Butter, Minced Meat, Dish Sponge, Cracker, Detergent, Beans, Soda, Chickpeas, Water",2025-03-04
207,C920,"Shampoo, Rice, Cheese, Fish, Juice, Water, Ice Cream, Honey",2025-01-03
208,C575,"Chips, Detergent, Ice Cream, Tomato, Cracker",2025-03-30
209,C329,"Orange, Ice Cream, Flatbread with Meat, Chips, Cracker",2025-03-17
210,C624,"Chocolate, Soda, Onion, Juice, Cookie, Lentil, Cereal",2025-01-11
211,C475,"Bread, Water, Rice, Cereal, Lentil, Chips, Yogurt, Minced Meat, Soap",2025-01-21
212,C866,"Bread, Cookie, Flatbread with Meat, Dish Sponge, Cola",2025-02-04
213,C186,"Egg, Milk, Chips, Soda, Apple, Cheese, Cereal",2025-01-27
214,C214,"Cereal, Dumpling, Soap, Minced Meat, Chocolate, Butter, Honey, Onion, Chicken, Chickpeas",2025-01-22
215,C169,"Soda, Chicken, Rice, Honey, Butter, Juice, Cola, Dish Sponge, Egg",2025-01-28
216,C755,"Cheese, Ice Cream, Cereal, Cookie, Cracker",2025-03-14
217,C476,"Butter, Egg, Chips, Juice",2025-02-17
218,C655,"Milk, Cheese, Orange, Yogurt",2025-03-03
219,C112,"Honey, Detergent, Beans, Milk, Cheese, Dish Sponge, Rice, Fish, Butter, Juice, Cereal",2025-02-07
220,C786,"Detergent, Chicken, Banana",2025-03-03
221,C828,"Egg, Chocolate, Cola, Strawberry, Dumpling",2025-04-30
222,C353,"Strawberry, Milk, Dumpling, Pizza, Rice, Soda, Orange, Chicken, Juice",2025-02-25
223,C914,"Juice, Beans, Yogurt",2025-01-18
224,C792,"Dish Sponge, Cola, Ice Cream, Dumpling, Shampoo, Fish",2025-01-12
225,C507,"Flatbread with Meat, Cookie, Cola, Water, Chickpeas, Juice",2025-04-27
226,C816,"Chickpeas, Tomato, Rice, Bread, Cola, Strawberry",2025-02-01
227,C185,"Cookie, Apple, Chips, Soda, Soap, Juice, Beans, Pizza, Onion",2025-04-06
228,C935,"Bread, Water, Chocolate, Dish Sponge, Milk, Honey, Cheese, Potato, Cereal",2025-03-08
229,C758,"Egg, Apple, Chickpeas, Flatbread with Meat, Cookie, Butter, Yogurt, Water, Fish",2025-04-09
230,C689,"Water, Flatbread with Meat, Soap, Apple, Strawberry, Dish Sponge, Milk, Butter, Detergent, Cereal",2025-03-26
231,C9,"Minced Meat, Potato, Cracker",2025-02-10
232,C723,"Water, Onion, Cheese",2025-03-01
233,C380,"Onion, Apple, Cola, Strawberry, Dumpling, Cucumber",2025-03-19
234,C310,"Bread, Strawberry, Butter, Detergent",2025-01-29
235,C247,"Shampoo, Juice, Ice Cream, Sausage, Apple, Beans, Cracker",2025-01-01
236,C876,"Shampoo, Cola, Chocolate, Juice, Minced Meat, Chips, Strawberry, Cereal",2025-02-18
237,C99,"Lentil, Cola, Ice Cream, Flatbread with Meat, Cucumber, Shampoo, Beans",2025-01-18
238,C979,"Beans, Cereal, Chocolate, Cola, Apple, Chickpeas, Yogurt, Juice, Lentil",2025-03-08
239,C283,"Cracker, Potato, Dumpling, Ice Cream, Strawberry",2025-02-24
240,C458,"Honey, Chicken, Strawberry, Flatbread with Meat, Ice Cream, Detergent, Lentil, Orange, Shampoo",2025-03-17
241,C463,"Lentil, Onion, Cheese",2025-02-03
242,C810,"Flatbread with Meat, Cereal, Dish Sponge, Water, Butter, Ice Cream, Orange",2025-02-03
243,C806,"Juice, Flatbread with Meat, Cracker, Lentil, Minced Meat, Honey",2025-02-14
244,C412,"Egg, Cracker, Potato",2025-04-16
245,C964,"Water, Shampoo, Cola, Tomato, Rice, Lentil, Banana",2025-03-17
246,C476,"Butter, Potato, Fish, Juice, Chips",2025-01-01
247,C543,"Cucumber, Potato, Water, Shampoo, Honey, Banana, Minced Meat, Chocolate, Dumpling",2025-01-30
248,C634,"Yogurt, Chocolate, Soap, Onion, Dish Sponge, Rice, Juice, Chips",2025-04-01
249,C109,"Honey, Chickpeas, Butter, Cola, Pizza, Chocolate, Lentil",2025-01-03
250,C322,"Cola, Tomato, Cheese, Banana, Egg",2025-03-18
251,C226,"Tomato, Juice, Minced Meat, Detergent, Soap, Chips, Onion, Orange, Fish",2025-01-19
252,C156,"Butter, Chicken, Pizza, Tomato, Cola, Egg",2025-01-31
253,C7,"Cookie, Onion, Water, Strawberry, Apple, Minced Meat",2025-03-24
254,C813,"Juice, Tomato, Detergent, Chocolate, Soda, Cucumber, Minced Meat, Apple, Cola",2025-02-17
255,C889,"Cola, Dish Sponge, Detergent, Beans, Dumpling",2025-01-30
256,C453,"Onion, Sausage, Cookie, Juice, Chips",2025-04-09
257,C761,"Chips, Minced Meat, Rice",2025-04-03
258,C294,"Soap, Water, Cheese, Cola, Tomato, Minced Meat, Chicken, Cracker, Egg",2025-02-21
259,C727,"Potato, Sausage, Minced Meat, Tomato",2025-03-10
260,C349,"Sausage, Milk, Potato, Bread, Chocolate, Egg, Dish Sponge, Cereal",2025-04-08
261,C347,"Honey, Strawberry, Soda, Apple, Egg, Cola, Juice, Cheese",2025-01-26
262,C494,"Sausage, Soap, Strawberry, Cracker",2025-02-18
263,C115,"Dumpling, Orange, Bread, Onion, Sausage, Potato, Cereal, Soda, Pizza, Milk",2025-01-01
264,C147,"Juice, Bread, Soap, Milk, Dumpling, Honey",2025-03-31
265,C880,"Cookie, Egg, Butter, Cola, Strawberry, Milk, Chicken, Juice, Yogurt, Chips",2025-04-08
266,C248,"Pizza, Butter, Water, Chips, Soap, Minced Meat, Cheese, Cracker",2025-02-26
267,C828,"Milk, Pizza, Chocolate, Strawberry, Honey, Cookie, Tomato, Apple, Cereal",2025-03-29
268,C208,"Bread, Cheese, Cereal",2025-04-20
269,C540,"Butter, Chocolate, Tomato",2025-02-10
270,C575,"Cheese, Honey, Detergent, Banana",2025-02-08
271,C265,"Soda, Sausage, Apple, Minced Meat, Yogurt, Lentil",2025-04-12
272,C513,"Water, Cookie, Yogurt, Milk, Pizza, Chocolate",2025-01-23
273,C128,"Milk, Cookie, Minced Meat, Cereal, Chicken, Shampoo, Yogurt, Tomato, Detergent",2025-03-07
274,C604,"Butter, Cereal, Beans, Water, Strawberry, Apple, Honey",2025-02-16
275,C540,"Cheese, Yogurt, Tomato, Strawberry",2025-04-05
276,C343,"Cracker, Chocolate, Flatbread with Meat, Honey, Strawberry, Soap, Banana, Sausage",2025-04-07
277,C642,"Apple, Ice Cream, Dish Sponge, Soda, Bread, Honey, Juice, Beans, Cola, Cracker",2025-04-03
278,C387,"Juice, Soap, Cola",2025-01-03
279,C222,"Onion, Egg, Cucumber",2025-03-20
280,C408,"Pizza, Flatbread with Meat, Yogurt, Cola, Cereal, Detergent, Beans, Cucumber, Rice",2025-04-13
281,C741,"Yogurt, Cola, Juice, Cracker, Cookie, Soda, Egg, Sausage",2025-01-23
282,C89,"Cereal, Minced Meat, Butter, Tomato, Soda",2025-04-19
283,C731,"Rice, Potato, Pizza, Banana, Chips",2025-04-13
284,C549,"Rice, Cucumber, Soda, Strawberry, Detergent, Fish, Chickpeas, Yogurt, Sausage",2025-02-25
285,C410,"Water, Tomato, Chicken, Soap",2025-01-09
286,C288,"Potato, Ice Cream, Butter, Dumpling, Chips, Pizza, Beans",2025-04-15
287,C167,"Apple, Detergent, Beans, Cookie, Tomato, Yogurt",2025-02-15
288,C614,"Cereal, Apple, Onion, Chocolate, Cheese",2025-03-13
289,C42,"Detergent, Cola, Chips",2025-04-20
290,C405,"Fish, Detergent, Potato, Cola, Honey",2025-02-08
291,C257,"Chips, Bread, Ice Cream, Lentil, Flatbread with Meat, Juice, Strawberry",2025-02-17
292,C864,"Dish Sponge, Sausage, Detergent",2025-03-26
293,C1,"Rice, Chips, Ice Cream, Beans, Water, Chicken, Pizza",2025-02-04
294,C736,"Banana, Butter, Cereal",2025-02-23
295,C414,"Rice, Honey, Tomato, Soap, Cheese, Water, Cucumber",2025-03-17
296,C978,"Orange, Banana, Cereal, Soap, Detergent, Cookie, Dumpling, Apple",2025-04-15
297,C643,"Shampoo, Potato, Orange",2025-01-27
298,C245,"Bread, Dish Sponge, Potato, Sausage, Beans",2025-03-18
299,C619,"Rice, Shampoo, Soda, Apple, Lentil",2025-03-12
300,C676,"Egg, Cola, Soap, Juice, Dumpling, Rice, Ice Cream, Shampoo",2025-04-23
301,C701,"Potato, Flatbread with Meat, Chickpeas, Yogurt, Milk, Cereal",2025-01-06
302,C683,"Chicken, Dish Sponge, Water, Soda, Rice, Strawberry, Cracker, Pizza, Apple, Orange",2025-02-08
303,C748,"Milk, Chicken, Cracker, Butter, Beans, Ice Cream, Potato, Cucumber",2025-03-24
304,C750,"Milk, Cheese, Bread",2025-04-09
305,C747,"Chips, Egg, Lentil, Honey, Dumpling, Cereal",2025-04-28
306,C169,"Soap, Dumpling, Butter, Cucumber, Onion, Beans",2025-04-17
307,C423,"Strawberry, Butter, Shampoo, Water, Sausage, Honey, Cookie",2025-02-13
